Property name,Type, Default value \/ mandatory,Description
"coreServices.sms.storage.N.allowTrigger","[true, false]","true","(if creating via factory) If user is allowed to enable the triggering feature."
"coreServices.sms.storage.N.allowUserDefinedPath","[true, false]","true","(if creating via factory) Whether the allow the user to set the storage base directory."
"coreServices.sms.storage.N.checkExistence","[true, false]","true","Whether the existence of the base directory should be checked when creating the storage."
"coreServices.sms.storage.N.class","Class extending eu.unicore.uas.impl.sms.SMSBaseImpl","","Storage implementation class used (and mandatory) in case of the CUSTOM type."
"coreServices.sms.storage.N.cleanup","[true, false]","false","Whether files of the storage should be removed when the storage is destroyed. This is mostly useful for storage factories.(runtime updateable)"
"coreServices.sms.storage.N.defaultUmask","integer number","027","Default (initial) umask for files in the storage. Must be an octal number."
"coreServices.sms.storage.N.description","string","Filesystem","Description of the storage. It will be presented to the users.(runtime updateable)"
"coreServices.sms.storage.N.disableMetadata","[true, false]","false","Whether the metadata service should be disabled for this storage."
"coreServices.sms.storage.N.enableTrigger","[true, false]","false","Whether the triggering feature should be enabled for this storage."
"coreServices.sms.storage.N.filterFiles","[true, false]","false","If set to true then this SMS will filter returned files in response of the ListDirectory command: only files owned or accessible by the caller will be returned.(runtime updateable)"
"coreServices.sms.storage.N.infoProviderClass","Class extending eu.unicore.uas.impl.sms.StorageInfoProvider","eu.unicore.uas.impl.sms.DefaultStorageInfoProvider","(Very) advanced setting, providing information about storages produced by the SMS factory."
"coreServices.sms.storage.N.name","string","","Storage name. If not set then the internal unique identifier is used."
"coreServices.sms.storage.N.path","string","","Denotes the storage base path."
"coreServices.sms.storage.N.protocols","string","","(DEPRECATED, ignored)(runtime updateable)"
"coreServices.sms.storage.N.settings..\* ","string *can have subkeys* ","","Useful for CUSTOM storage types: allows to set additional settings (if needed) by such storages. Please refer to documentation of a particular custom storage type for details. Note that while in general updates of the properties at runtime are propagated to the chosen implementation, it is up to it to use the updated values or ignore changes.(runtime updateable)"
"coreServices.sms.storage.N.triggerUserID","string","","For data triggering on shared storages, use this user ID for the controlling process."
"coreServices.sms.storage.N.type","string","","Storage type. FIXEDPATH: mapped to a fixed directory, VARIABLE: resolved using an environmental variable lookup, CUSTOM: specified class is used."
"coreServices.sms.storage.N.workdir","string","","(DEPRECATED, use 'path' instead)"
